名称,价格,简介,元素,难度,时长,人员配置,人员,,,,,,,,,
在逃公主,￥68,噢，上帝，瞧瞧这俏丽的脸蛋，您是某尼在逃公主吗？3男3女的欢乐情感本《在逃公主》，我愿称之为“沙雕童话”，它能将你的公主梦一一实现。开头的游戏、演绎、飙戏环节，简直是戏精玩家的主场。剧本以还原为主，难度不高，但冲击力可不弱。本中关于亲情、爱情的故事，足够让你在不知不觉间停下笑声，直到视线模糊。,"['桌面', '现代', '欢乐', '情感', '开放', '还原', '本格', '盒装']",进阶,4.5,3男3女,6,,,,,架空,85,独家,237,33
权倾天下,￥168,“普天之下，莫非王土。率土之滨，莫非王臣。天下割据，群雄逐鹿。权倾天下，史由谁书？”,"['桌面', '架空', '机制', '阵营', '还原', '城限']",进阶,7,5男3女,8,,,,,立意,99,,,24
上钟儿,￥59,“欢迎观临，中式足疗一位！58号技师！8号房上钟！”《上钟儿》，一个自带热点的题材――足浴城。当玩家都以为这是一个无厘头欢乐本的时候，却又发现这是一个集合了职场宫斗、商业谍中谍等元素的剧本，甚至背负着足底按摩这个中华传统文化的传承。每个角色看似十分平庸，但是平凡的人物都有着一个伟大的理想――搞钱。来！拉上你的小伙伴们一起快乐的搞钱吧！,"['桌面', '现代', '阵营', '欢乐', '本格', '盒装']",进阶,4,5男4女,9,,,,,日式,109,,,19
一探纠镜,￥48,“陕西省蓝田县，属西安市郊县，县城距市区五十二公里，以秦岭为界，东接华州，西临库峪河”,"['桌面', '现代', '推理', '恐怖', '新本格', '本格', '盒装']",烧脑,5,3男3女,6,,,,,民国,109,,,19
档案・玻璃屋,￥48,“在欺骗他人之前先欺骗自己。”《档案?玻璃屋》是一个硬核推理本，这里既有血字、分尸、密室多个高能案件交错，又有本格、变格的巧妙融合。盲凶的设计也让剧本“难上加难”，如果不注重细节，你可能连自己是不是凶手都不知道。结尾的反转让你在以为已经找到答案的时候又疑惑不已，所以，你以为的真相到底是什么？,"['桌面', '架空', '现代', '推理', '还原', '本格', '盒装']",进阶,4.5,4男3女,7,,,,,半封闭,122,,,14
王座,￥58,“阿斯加德的风雪夜，维京民族的极寒。”,"['桌面', '欧式', '机制', '阵营', '半封闭', '还原', '本格', '城限']",进阶,4.5,4男3女,7,,,,,新本格,129,,,12
后宫,￥58,后宫佳丽三千，小主您是否能独得皇上恩宠呢？作为欢乐互撕本的《后宫》，两男四女的配置反串更加刺激，无疑是戏精玩家的天堂了。其案件和还原部分对小白玩家也是满分的友好。《后宫》还是个高自由的剧本，人设规则什么的都不重要，互相爆料宫中密事的机制更是让欢乐指数直线上升，只要参与就都能玩出不一样的快乐。古风欢乐、互撕上位，后宫之事皆由你掌控。,"['桌面', '古风', '机制', '欢乐', '本格', '盒装']",进阶,4,2男4女,6,,,,,欧式,133,,,11
帝阙谣,￥59,获得玉玺，登上皇位，从此走向人生巅峰！在《帝阙谣》这个武侠阵营本中，道具可换可偷可交易，玩家自身就可以制造出有趣的剧情冲突，而阵营分组也是全靠玩家自己的良心和队友的私人恩怨，撕起来可谓笑料不断，精彩连连。各位在游戏中永远不要掉以轻心，能获得的东西就不要放过，技多不压身，万全的准备才有胜利的关键。,"['桌面', '古风', '阵营', '武侠', '开放', '变格', '盒装']",进阶,4.5,6男2女,8,,,,,封闭,137,,,10
大橘为重,￥58,人均小动物在本作中，你将成为一只可爱的小动物，在“铲屎官”不在家的时候，集结“咕咕特工队”上演一场奇幻精彩的冒险。《大橘为重》是一个以动物视角看世界的欢乐治愈本，能让你在体验过后了解自己的“毛孩子”当你不在家时都在想些什么、做些什么。剧中妙趣横生的合作跑团机制，将欢乐指数拉满，让你在玩本过程中获得社交。到最后你还会发现，故事中隐藏着诸多让你意料之外的反转，说不定你会因此泪目哦~,"['桌面', '架空', '现代', '欢乐', '立意', '开放', '还原', '本格', '盒装']",进阶,4,4男3女,7,,,,,校园,159,,,6
野の蔷薇：落椿,￥48,“相传在日本北海道札幌市的南边，有个叫做国都的小镇，镇上民风淳朴，百姓安居乐业。”,"['桌面', '日式', '现代', '推理', '立意', '开放', '还原', '本格', '盒装']",进阶,5,4男2女,6,,,,,武侠,159,,,6
似灵寺2,￥59,“今天是农历四月初四，一行人来到了一间名为“404”的酒吧，门口的LED灯上写着今晚的主打酒名为情深缘浅。故事开始前，让我们考虑几个问题，为何天下情深之人皆都缘浅？何为陪伴？何为守护？何为爱情？”,"['桌面', '现代', '情感', '本格', '盒装']",新手,3.5,3男3女,6,,,,,玄幻,167,,,5
似灵寺,￥59,“一个寺庙。每年都会有无数恋人在这里求一支姻缘签，为自己爱的人许下最真挚的愿望，寺庙受了香火，百试百灵。寺庙的主持告诉大家，每年的四月初四寅时五刻的时候这里会开启一次爱情的大门，走进去就可以和爱的人永远在一起。”,"['桌面', '现代', '情感', '本格', '盒装']",新手,4,4男2女,6,,,,,谍战,189,,,3
涂川,￥58,“魂之溯引，忘川为引。”《涂川》为你带来的，不是粗暴的“按头哭”，而是像一汪清泉流入你的心里。共情能力强的玩家，或许在看本的时候就已经忍不住湿润了眼眶。让人为之动容的也不只有爱情，甚至还有兄妹情。一丝善念，却结了最苦的果，世间真情留不住，到头来，一场空。,"['桌面', '古风', '情感', '玄幻', '开放', '还原', '盒装']",进阶,4.5,4男3女,7,,,,,惊悚,207,,,2
杀进头等舱,￥78,“十年前，一个商业奇葩横空出世，迅速成为“富不死”排行榜第一。吊诡的是，没有人知道ta的样貌、年龄，只知道，他叫――郑梅乾！！”,"['桌面', '现代', '机制', '欢乐', '还原', '本格', '盒装']",新手,5,4男3女,7,,,,,其它,207,,,2
月落洼,￥48,“公元1914年(民国三年)9月20日在江苏与浙江的两省交界处，有一座西塘古镇，地势平坦，周围河流遍布，水路交错，生长着许多古树，蔚然成森――往嘉兴的方向走去，偶尔能看到一些不高的丘陵，隐于林中。”,"['桌面', '民国', '推理', '本格', '盒装']",烧脑,4,3男2女,5,,,,,未来,237,,,1
有间客栈,￥58,“宁国五十六年，元皇昏庸，被逼让位，而元皇则被新皇满门赐死。”,"['桌面', '古风', '架空', '阵营', '欢乐', '开放', '本格', '盒装']",进阶,4,3男3女,6,,,,,科幻,237,,,1
山之神,￥58,“没有一张干的纸巾可以离开这个剧本的房间。”这个剧本是市面上少有的、纯写父爱的题材。在前期欢乐活泼的氛围中|你们尽情地调皮捣蛋着|到处洋溢着欢乐的笑声。当你们离事情的真相越来越近|情感也就在层层铺垫。随着真相出现的那一刹|让你复杂堆积的情感一瞬间被爆发出来|泪如泉涌|哭到抽搐。在bgm的渲染和dm的演绎加持下|心情更是久久无法平复。“父爱如山|山之伟大。”,"['桌面', '现代', '欢乐', '情感', '还原', '新本格', '盒装']",进阶,4,3男4女,7,,,,,独家,237,,,1
天才在左，我在右,￥68,“近来可好，我的朋友们？”本作是一部微恐还原本，开场通过调查问卷分发角色，每个人物都仿佛是你的内心写照。前半段玩家会沉浸在小说般的故事中，对自己现阶段知道的事情有一些的满足感，读完故事还会感觉意犹未尽。后续每个环节的呈现，包括剧本中的高低落差，都来自于作者的精心设计。仅仅21张线索卡里，隐藏的却是满满的细节。最后好不容易知道所有的真相时，又能让你不禁感叹：“窥探、猎心、傀儡、牺牲，只不过是我们每个人的标签罢了。”,"['桌面', '现代', '推理', '半封闭', '还原', '本格', '盒装']",进阶,4.5,3男4女,7,,,,,,,,,
虚拟游戏,￥48,“林家别馆再起命案，命运交织的7人将会面临怎样的危险。凶宅是否会又一次吞噬这些人命？穿越虚拟与现实的羁绊，不可思议的真相究竟在何处？恐惧在弥漫，信任在崩塌。每个人都不可避免的陷入了一场巨大的阴谋之中！”,"['桌面', '现代', '推理', '开放', '还原', '盒装']",烧脑,5.5,3男3女,6,,,,,,,,,
AB,￥78,“ 我告诉你我们警察是怎么办案的，心理侧写，基本演绎，老话说学药先学毒，要了解一个罪犯，最好是先学会怎么去犯罪，模拟现场，当好一个合格的凶手，不不不我没有真的让你去犯罪... ”,"['桌面', '现代', '机制', '推理', '还原', '本格', '盒装']",烧脑,6,4男4女,8,,,,,,,,,
通缉令,￥48,"“多起连环杀人案错综复杂，每一个案件的谜底都跟上一个案件息息相关。
”","['桌面', '架空', '推理', '还原', '本格', '盒装']",烧脑,4.5,3男2女,5,,,,,,,,,
热搜,￥58,"“正义或许会迟到，但永远不会缺席。”剧本取材于真实事件，直面多起曾经轰动网络的新闻。
","['桌面', '现代', '推理', '立意', '开放', '还原', '本格', '盒装']",烧脑,6,5男3女,8,,,,,,,,,
三谢世涂,￥178,“一生两人三餐四季五分六离七死别如幻如露又如闪电。欢聚短暂在变幻莫测的人生中我们无法选择生死唯有爱与离别才是永恒。所以这个世界上最幸运的事莫过于不论发生了什么，都有人握紧你的手说“绝不放弃你。"因为对于爱你的人来说你是一次性的奇迹。”,"['桌面', '现代', '机制', '情感', '立意', '本格', '城限']",进阶,5,3男3女,6,,,,,,,,,
甜蜜蜜,￥58,“有没有什么记忆能代表一个时代的群像?故事开始于20世纪80年代，生性顽劣的男孩邂逅了美丽的戏曲女孩，两人开始一段两小无猜的纯洁友谊，《甜蜜蜜》的共同喜爱使两人青涩的爱情开始萌动。”,"['桌面', '现代', '情感', '还原', '盒装']",进阶,4,3男3女,6,,,,,,,,,
娘娘千千岁,￥88,奢华国风工艺若你们是戏精玩家，那么你们定不能错过《娘娘千千岁》。在本作中，你们五人将作为皇后以及四位妃子，在宫内进行后妃大选。在这尔虞我诈宫里，你们需要使出浑身解数，多轮次的私聊让你能够刺探敌情，欢乐有趣的机制让你在达成目的的路上不再枯燥。随着剧情发展，更多的内幕被逐渐挖出，故事峰回路转，让作品显得更有深度。五个女人一台戏，你能否领悟个中深意？,"['桌面', '古风', '架空', '机制', '欢乐', '还原', '新本格', '盒装']",进阶,6,5女,5,,,,,,,,,
月光酒馆,￥208,“月光酒馆的故事是一个讲述人生遗憾的故事。六个各有故事的人，在一个人有故事的酒馆遇到了一个没有故事的朋友“浩子”。共同经历了“浩子”的故事，人生中的无奈，现实和遗憾太多了。希望大家来酒馆喝酒，可以开心一点。”,"['桌面', '现代', '情感', '立意', '封闭', '城限']",进阶,4,3男3女,6,,,,,,,,,
赶尸人,￥66,“天干物燥，小心火烛。故人回家，行人避让。”你有听说过“湘西邪术”吗？《赶尸人》是一个恐怖本，故事背景设定为湘西三大邪术“赶尸、放蛊、落花洞女”中的赶尸，翻开剧本，我们都变成了剧本中的“赶尸人”，npc还没有出场就令玩家毛骨悚然。故事情节完整，单人搜证环节直接把恐怖气氛拉满，绝对是恐怖本爱好者的不二选择。,"['桌面', '民国', '恐怖', '开放', '盒装']",进阶,3.5,4男2女,6,,,,,,,,,
春昼短,￥39.90,来一场浪漫的告白吧！《春昼短》这个情感剧本，令我最没有想到的，居然是一个大型求婚表白现场！环节演绎中需要玩家背对背后然后深情告白，如有需要，可以在对象转身的那一刻，单膝跪下，拿出早已准备好的鲜花或戒指，开始你们下一阶段的故事。游戏过后的我，一直有一句话：我从来就不羡慕那些星星，因为我有过自己的月亮。,"['桌面', '现代', '情感', '开放', '还原', '本格', '盒装']",新手,4,3男3女,6,,,,,,,,,
恐山大祭,￥78,黑暗是有限度的，邪恶是有边界，而人性呢？《恐山大祭》一个被名字耽误的推理本，叙诡，密室杀人，身份之谜种种经典谜题完美融入进日式传统故事之中，头脑风暴之余不免感概故事之中充满的人性。,"['桌面', '日式', '推理', '本格', '盒装']",进阶,6,3男3女,6,,,,,,,,,
我于深渊中救赎,￥149,“这一次，全都由你们自己选择，杀了他？还是放过他？这一次，你想做个好人？也许，你只想活着？这一次，谁都不能信！短信又来了，你们的秘密，还藏得住吗？”,"['桌面', '现代', '情感', '立意', '还原', '新本格', '城限']",进阶,5,4男2女,6,,,,,,,,,
第二十二条校规2-返校,￥39.90,“该回学校了，孩子们。”这剧本是校规系列的第二部作品。不禁承继了第一部的恐怖风格，还在细节之处，添加了更多让你细思极恐的地方，玩着玩着浑身颤起鸡皮疙瘩。这不是视觉的恐吓，而是由内心而发，在你的大脑里形成画面，让你感受到在这诡异的校园里，被一双大手操控的恐惧。,"['桌面', '现代', '校园', '恐怖', '开放', '还原', '盒装']",进阶,5,3男3女,6,,,,,,,,,
水镜八奇,￥158,“汉朝末年，董卓挟天子以令诸侯，战神吕布为其征讨，四方群雄并起。水镜门下八奇，谋冠天下。”,"['桌面', '架空', '机制', '阵营', '封闭', '城限']",进阶,6,5男3女,8,,,,,,,,,
地君,￥88,“?皇身虽死，皇威依存。?当这些历朝历代的皇帝碰到了一起又会发生什么样的故事，他们又能否如生前一样走入人间巅峰。”,"['桌面', '架空', '机制', '阵营', '还原', '盒装']",进阶,4,6男1女,7,,,,,,,,,
致命协议,￥58,"“复杂的感情线和豪门恩怨，让你沉浸在与别人的拉踩互撕间无法自拔，分不清到底要遵循金钱至上的原则还是要有仇报仇有怨报怨。
”","['桌面', '现代', '推理', '恐怖', '本格', '盒装']",进阶,5,3男2女,5,,,,,,,,,
绣花鞋,￥58,你的童年鬼故事里有没有一双绣花鞋？《绣花鞋》以盘问形式的自我介绍做开场。光是满屋红光、}人的背景音乐，就让你心里一阵发毛。剧本的故事毫不拖泥带水，不断浮现出来的画面、变态的作案手法使你频频忍不住手抖。配合搜证和互动的恐怖环节更是十分贴合故事。在知道自己即将面临的是什么时，恐惧感就像一把刀架在你头上，属实磨人。,"['桌面', '民国', '恐怖', '还原', '盒装']",进阶,4,4男2女,6,,,,,,,,,
群星,￥68,“1986年，巨型彗星撞击，低纬度地区生物大量死亡，全球性粮食减产，温室效应加剧……”,"['桌面', '机制', '立意', '还原', '盒装']",新手,4,3男3女,6,,,,,,,,,
刁民2,￥59,小小村落，人生百态。剧本是一个欢乐互撕本。剧情轻松愉快，没有花里胡哨的环节，不需要任何演绎，场面就已经很混乱了，大家仿佛“刁民“上身一般，就是撕。无论什么事，就是想喷你。整个过程十分欢乐，八人掀桌，激情开撕。如果你压力太大，不妨来开心地大闹一场，释放自己！,"['桌面', '现代', '推理', '欢乐', '本格', '盒装']",进阶,4,4男4女,8,,,,,,,,,
深林,￥68,"“前期和你并肩作战的伙伴后期却可能成为劲敌。
”","['桌面', '架空', '机制', '阵营', '开放', '还原', '本格', '盒装']",进阶,4,3男2女,5,,,,,,,,,
红衣男孩,￥78,恶魔真的在人间。比起虚无缥缈的鬼，更加可怕的是人性。剧本根据真实案件――重庆红衣男孩改编。本里对恐怖环境描写得十分细致真实，其搜证环节配上背景音乐和主持人的演绎，直叫人胆颤。越盘越带感的凶案，让你大胆的猜想不断被印证，直吓得一身冷汗。社会底层的挣扎、人间的罪恶，到底谁可以审判？,"['桌面', '现代', '情感', '恐怖', '还原', '盒装']",进阶,3,3男2女,5,,,,,,,,,
第一次送你花,￥188,“一场离奇命案，一朵奇异的花跨越千年的爱恨别离尔等六人既可旁观者亦可亲历世间尽有精心策划的偶然而爱人的人，跋山涉水从未介意这世代风尘突如其来的相遇，始料未及的倾慕猝不及防的再见，毫不留情的散场。”,"['桌面', '古风', '现代', '欢乐', '情感', '还原', '新本格', '城限']",新手,5,3男3女,6,,,,,,,,,
来电,￥39.90,"“面对世俗的欲望，你还可以坚守自己的信念吗？”
","['桌面', '现代', '欢乐', '本格', '盒装']",新手,4,3男3女,6,,,,,,,,,
恶渊百物语,￥59,“日本流传着一种叫做“百物语”的仪式游戏。在新月的夏夜，天最黑的时候，点燃100支蜡烛，众人围坐暗室讲怪谈。每讲完一个就吹灭一支蜡烛，吹完最后一支蜡烛，鬼魅便会前来...”,"['桌面', '日式', '推理', '恐怖', '半封闭', '还原', '本格', '盒装']",进阶,5,5男1女,6,,,,,,,,,
诡计博物馆,￥68,“不知从何时起，人们在茶余饭后流传起这样一位人物。他是一位狂热的收藏家，但其所藏既非古玩字画，也非四书五经，而是诡谲无比的杀人诡计。密室杀人？不在场证明？身份错位？”,"['桌面', '现代', '推理', '还原', '本格', '盒装']",进阶,5,5男2女,7,,,,,,,,,
春运,￥68,“每年春节，人头攒动，浩浩荡荡，在车站、机场，人们背着大包小包，挤上人挨人的狭小空间。坐着、站着，寸步难移，手脚僵直着，忍耐着。?回家。”,"['桌面', '现代', '阵营', '欢乐', '本格', '盒装']",进阶,4,5男3女,8,,,,,,,,,
牌花,￥138,“1999年，9月9日，在海滨国际酒店发生了三次命案。三宗命案发生在同一天，同一个地方，死者都是Y国的权贵，但三宗命案看起来又毫无关联...”,"['桌面', '现代', '推理', '立意', '半封闭', '还原', '本格', '城限']",烧脑,6,4男3女,7,,,,,,,,,
白衣倾城,￥208,“传闻一出，江湖震动，初春三月，三教九流齐聚岳阳。随着这场武林盛会的临近，岳阳城外的悦来客栈，却成了本次武林大会的序章。”,"['桌面', '古风', '机制', '情感', '还原', '城限']",进阶,8,5男3女,8,,,,,,,,,
顶楼,￥59,“自由港有个国辉大厦，有天来了几个奇怪的房客。不为人知的秘密，难以克制的欲望在顶楼里四处流窜，妄想控制一切的房东，开始愚弄房客。这个世界究竟有没有鬼？”,"['桌面', '现代', '推理', '恐怖', '还原', '变格', '城限']",进阶,5,4男3女,7,,,,,,,,,
神乐汤,￥88,“神乐汤温泉，坐落在繁华的星町市，相传早在在日本江户时期就已然存在。时过境迁，今天店长“蛤蟆先生”将会邀请各位贵宾前来洗浴消遣蓄谋已久的狂欢盛宴不为人知的暗流，离奇失踪的神秘女子;惨死于窗前的肥胖男人。”,"['桌面', '日式', '机制', '推理', '还原', '本格', '盒装']",进阶,5.5,3男2女,5,,,,,,,,,
尔娱我诈,￥78,“9.7分――这是国产电视剧在豆瓣获得的最高分数。”,"['桌面', '现代', '机制', '欢乐', '开放', '还原', '盒装']",新手,4,4男3女,7,,,,,,,,,
野生,￥48,“一场名震北城古董界的文物展会。”,"['桌面', '现代', '推理', '立意', '半封闭', '还原', '新本格', '盒装']",烧脑,4,2男3女,5,,,,,,,,,
情书第九页,￥66,“1990年的海城，他们相聚于阴暗角落2006年的公海，他们重逢于豪华游轮生在泥泞有人劈开黑暗，有人堕入深渊不肯屈从命运，就顽强地扬起风帆不愿相信正义，就弧绝地枕戈待旦最后，回望来时的坎那第九页的信件，你是否了然?”,"['桌面', '现代', '情感', '立意', '开放', '还原', '本格', '盒装']",新手,4.5,3男2女,5,,,,,,,,,
恶意,￥58,“崇兴研究所是我国最机密顶尖的生化研究所之一，除了内部人员和相关上级领导，普通的人甚至不知道这些国家机密研究所的存在。里面所有的研究人员都是顶尖人才，研发的项目也绝对保密，除了该项目研发组的负责人员外其他人根本不知道其内容。”,"['桌面', '现代', '推理', '还原', '本格', '盒装']",烧脑,5,4男2女,6,,,,,,,,,
让蝉声渐响,￥39.90,立意深远|推理体验高|防天眼这是关于一个破碎女孩的黑暗故事。剧本中讨论了关于性别、家暴、校园暴力等的热门议题|由北京电影学院科班团队打造|使得其具有更强烈的真实感|也更具社会意义。独特的防天眼机制|使得作品有两套推理体系|分别指向不同的凶手|在推理上的逻辑却也都相当严谨。双密室、催眠、机关、身份互关|多重核诡又赋予这个剧本不俗的推理体验。希望各位能帮助这位破碎女孩|拼凑起她碎片般的生活。,"['桌面', '现代', '推理', '立意', '还原', '本格', '盒装']",进阶,5,3男3女,6,,,,,,,,,
孽岛疑云,￥48,“时值清宣统**逊位后，中*改国体为*和，袁世*就任大**。西方列强忙于欧陆*场时，仍不忘扩张在**的殖民势力，这一年，上海法租界的面积扩展至15150亩。在上海之东的大洋上，零星散布着许多岛屿，其中一座因与陆地不远，如同宗外旁支，得名“孽岛”,"['桌面', '民国', '推理', '本格', '盒装']",进阶,4,2男3女,5,,,,,,,,,
橡皮,￥88,“橡皮能够擦去铅笔的痕迹，却擦不去我们一起度过的温暖四季。”,"['桌面', '现代', '情感', '开放', '本格', '盒装']",新手,4,2男4女,6,,,,,,,,,
金玉良缘,￥59,“公元690年，武则天称帝，随后在其主张下，洛阳修建了第一座专供女子的书院西君书院！”,"['桌面', '古风', '阵营', '欢乐', '开放', '本格', '盒装']",进阶,4,4男4女,8,,,,,,,,,
},￥39.90,这是一本以广东当地风俗“头七”为背景的恐怖本。7位年轻人的好友在死后的第七天，竟然受到邀请要在一场荒废的死城用一些通灵道具进行一场通灵直播，通灵直播房间内陈列的一张张诡异照片仿佛在透露着丝丝危险当你们察觉危险来临的时候，是谁在悄声无息地看着你们呢？你们可以逃离这个地方吗？,"['桌面', '现代', '恐怖', '变格', '盒装']",进阶,5,4男3女,7,,,,,,,,,
月见草,￥58,“从一封邀请函说起：如果这是人生最后一次聚会，你想邀请谁？我翻来覆去地想了好几天，还是忍不住给你写了这封信。”,"['桌面', '现代', '情感', '半封闭', '还原', '本格', '盒装']",进阶,4,3男3女,6,,,,,,,,,
粉灯,￥148,“霓虹灯下粉墨登场的，是罪恶与真情。”翻开剧本，伴随着音乐，浓浓的港风气息扑面而来。中间插入的机制是类似于大富翁的游戏，你将通过游戏获得道具，来争夺最后的胜利。在这里没有绝对的朋友，过早的相信别人有可能会“众叛亲离”哦。剧本的结局振奋人心，让我们一起化身成90年代的一员，体验一番纸醉金迷的生活吧,"['桌面', '现代', '机制', '开放', '本格', '城限']",进阶,4.5,4男4女,8,,,,,,,,,
甜蜜的家,￥88,“现在，我将向你展示家的全貌。这里的河流淌着血液，白骨在枯藤里嘎吱作响，要警惕那骷髅一样的果实，它会泯灭你的良知，吃掉你的记忆，模糊你的神智，蒙蔽你的双眼。”,"['桌面', '现代', '推理', '恐怖', '本格', '盒装']",进阶,6,3男2女,5,,,,,,,,,
小吊梨汤,￥158,“这是皇城根儿下的一个老胡同，街坊四邻亲切的称呼它为"小吊胡同"”,"['桌面', '现代', '情感', '立意', '本格', '城限']",新手,4.5,3男3女,6,,,,,,,,,
那时的我们（六人版）,￥39.90,“是否还记得那年夏天，那群傻瓜，说的那句傻话――要一辈子做最好的朋友。可是分别十年，当初那么要好的一群人，现在为什么就不联系了呢？很多年不联系，那些曾经存在过的感情就消失不见了吗？”,"['桌面', '现代', '校园', '情感', '还原', '本格', '盒装']",进阶,4,3男3女,6,,,,,,,,,
比武招亲,￥68,“自古以来，英雄难过美人关，比武招亲，看热闹不嫌事大。若不是大小姐美到倾国倾城，何能让各路英雄豪杰大显身手。谁能够在三天之后夺取小姐芳心？现在城里各大赌坊都开了盘口。”,"['桌面', '古风', '机制', '欢乐', '还原', '本格', '盒装']",新手,4.5,6男,6,,,,,,,,,
